subject,category,question,options,correct,difficulty,source,id
Current Affairs,Administration,Who is current Comptroller General of Accounts (CGA)?,"['Ms. T.C.A. Kalyani', 'Sanjay Murthy', 'Rajiv Mehrishi', 'Shashi Kant Sharma']",0,Hard,6-Month Current Affairs 2025,Q_0014
Current Affairs,Judiciary,Who is current Attorney General of India (16th)?,"['K.K. Venugopal', 'R. Vankataramani', 'Tushar Mehta', 'Mukul Rohatgi']",1,Medium,6-Month Current Affairs 2025,Q_0015
Current Affairs,Judiciary,Who is current Solicitor General of India?,"['R. Vankataramani', 'Tushar Mehta', 'K.K. Venugopal', 'Mukul Rohatgi']",1,Medium,6-Month Current Affairs 2025,Q_0016
Current Affairs,Judiciary,Who is Chairperson of National Green Tribunal?,"['Justice Adarsh Kumar Goel', 'Justice Prakash Shrivastava', 'Justice Swatanter Kumar', 'Justice A.K. Goel']",1,Hard,6-Month Current Affairs 2025,Q_0017
Current Affairs,Defense,Who is current Chief of Defence Staff (CDS) (2nd)?,"['Bipin Rawat', 'Lt. General Anil Chauhan', 'General M.M. Naravane', 'General V.K. Singh']",1,Medium,6-Month Current Affairs 2025,Q_0018
Current Affairs,Defense,Who is current Chief of Air Staff (28th)?,"['Air Chief Marshal R.K.S. Bhadauria', 'Amar Preet Singh', 'V.R. Chaudhari', 'Birender Singh Dhanoa']",1,Medium,6-Month Current Affairs 2025,Q_0019
Current Affairs,Defense,Who is current Chief of Naval Staff (26th)?,"['Admiral Karambir Singh', 'Dinesh Kumar Tripathi', 'R. Hari Kumar', 'Sunil Lanba']",1,Medium,6-Month Current Affairs 2025,Q_0020
Current Affairs,Defense,Who is current Chief of Army Staff (30th)?,"['General Bipin Rawat', 'General M.M. Naravane', 'General Upendra Dwivedi', 'General V.K. Singh']",2,Medium,6-Month Current Affairs 2025,Q_0021
Current Affairs,Defense,"Who is current DG, Military Operations (DGMO)?","['Lt. Gen. Rajiv Ghai', 'Lt. Gen. Anil Chauhan', 'Lt. Gen. Upendra Dwivedi', 'Lt. Gen. M.M. Naravane']",0,Hard,6-Month Current Affairs 2025,Q_0022
Current Affairs,Administration,Who is current Cabinet Secretary?,"['Rajiv Gauba', 'T.V Somnathan', 'P.K. Sinha', 'Pradeep Kumar Sinha']",1,Medium,6-Month Current Affairs 2025,Q_0023
Current Affairs,Administration,Who are current Advisers to Prime Minister?,"['Traun Kapoor & Amit Khare', 'P.K. Mishra & Bhaskar Khulbe', 'Rajiv Gauba & T.V. Somnathan', 'Ajit Doval & Samant Goel']",0,Hard,6-Month Current Affairs 2025,Q_0024
Current Affairs,Administration,Who are current Principal Secretaries to Prime Minister?,"['Pramod Kumar Mishra & Shaktikanta Das', 'T.V. Somnathan & Rajiv Gauba', 'Bhaskar Khulbe & P.K. Mishra', 'Amit Khare & Traun Kapoor']",0,Hard,6-Month Current Affairs 2025,Q_0025
Current Affairs,Foreign Affairs,Who is current Foreign Secretary (35th)?,"['S. Jaishankar', 'Harsh Vardhan Shringla', 'Vikram Misri', 'Vijay Gokhale']",2,Medium,6-Month Current Affairs 2025,Q_0026
Current Affairs,Finance,Who is current Finance Secretary?,"['Tarun Bajaj', 'Ajay Seth', 'T.V. Somnathan', 'Rajiv Kumar']",1,Medium,6-Month Current Affairs 2025,Q_0027
Current Affairs,Defense,Who is current Defence Secretary?,"['Ajay Kumar', 'Rajesh Kumar Singh', 'Sanjay Mitra', 'Giridhar Aramane']",1,Medium,6-Month Current Affairs 2025,Q_0028
Current Affairs,Defense,Who is current Defence Finance Secretary?,"['Shri Rajesh Kumar Singh', 'Ajay Kumar', 'Sanjay Mitra', 'Giridhar Aramane']",0,Hard,6-Month Current Affairs 2025,Q_0029
Current Affairs,Revenue,Who is current Revenue Secretary?,"['Tarun Bajaj', 'Shri Arvind Shrivastava', 'Ajay Seth', 'Sanjay Malhotra']",1,Hard,6-Month Current Affairs 2025,Q_0030
Current Affairs,Security,Who is current National Security Adviser (NSA)?,"['M.K. Narayanan', 'Shivshankar Menon', 'Ajit Doval', 'Brajesh Mishra']",2,Medium,6-Month Current Affairs 2025,Q_0031
Current Affairs,Security,Who is current Deputy National Security Adviser?,"['TV Ravichandran', 'Ajit Doval', 'Pankaj Saran', 'Dattatray Padsalgikar']",0,Hard,6-Month Current Affairs 2025,Q_0032
Current Affairs,Economics,Who is current Chief Economic Advisor?,"['Krishnamurthy Subramanian', 'Anantha Nageswaram', 'Arvind Virmani', 'Kaushik Basu']",1,Medium,6-Month Current Affairs 2025,Q_0033
Current Affairs,Science,Who is current Principal Scientific Adviser?,"['K. VijayRaghavan', 'Ajay Kumar Sood', 'R. Chidambaram', 'A.P.J. Abdul Kalam']",1,Medium,6-Month Current Affairs 2025,Q_0034
Current Affairs,Investigation,"Who is current Central Vigilance Commissioner, CVC?","['Suresh N. Patel', 'Praveen Kumar Srivastava', 'K.V. Chowdary', 'Sharad Kumar']",1,Hard,6-Month Current Affairs 2025,Q_0035
Current Affairs,Investigation,Who is current Director of CBI?,"['Rishi Kumar Shukla', 'Praveen Sood', 'Alok Kumar Verma', 'Rakesh Asthana']",1,Medium,6-Month Current Affairs 2025,Q_0036
Current Affairs,Information,Who is current Chief Information Commissioner?,"['Sudhir Bhargava', 'Hiralal Samaria', 'Radha Krishna Mathur', 'Y.K. Sinha']",1,Hard,6-Month Current Affairs 2025,Q_0037
Current Affairs,Intelligence,Who is current Head of Intelligence Bureau (IB)?,"['Samant Goel', 'Tapan Kumar Deka', 'Rajiv Jain', 'Arvind Kumar']",1,Hard,6-Month Current Affairs 2025,Q_0038
Current Affairs,Intelligence,Who is current Head of Research and Analysis Wing (RAW)?,"['Samant Goel', 'Parag Jain', 'Anil Dhasmana', 'R.K. Singh']",1,Hard,6-Month Current Affairs 2025,Q_0039
Current Affairs,Investigation,Who is current DG of National Investigation Agency (NIA)?,"['Y.C. Modi', 'Sadanand Date', 'Sharad Kumar', 'Kuldiep Singh']",1,Hard,6-Month Current Affairs 2025,Q_0040
Current Affairs,Investigation,Who is current Director of Enforcement Directorate (ED)?,"['Sanjay Kumar Mishra', 'Rahul Navin', 'Karnal Singh', 'S.K. Mishra']",1,Hard,6-Month Current Affairs 2025,Q_0041
Current Affairs,Investigation,Who is current DG of Narcotics Control Bureau (NCB)?,"['Rakesh Asthana', 'Anurag Garg', 'S.N. Pradhan', 'Abhay']",1,Hard,6-Month Current Affairs 2025,Q_0042
Current Affairs,Paramilitary,Who is current DG of Sashastra Seema Bal (SSB)?,"['Shri Sanjay Singhal, IPS', 'Kumar Rajesh Chandra', 'S.S. Deswal', 'Rakesh Asthana']",0,Hard,6-Month Current Affairs 2025,Q_0043
Current Affairs,Paramilitary,Who is current DG of Border Security Force (BSF)?,"['Rakesh Asthana', 'Daljit Singh Chaudhary', 'S.S. Deswal', 'V.K. Johri']",1,Hard,6-Month Current Affairs 2025,Q_0044
Current Affairs,Paramilitary,Who is current DG of CRPF?,"['A.P. Maheshwari', 'Gyanendra Pratap Singh', 'S.S. Deswal', 'Kuldiep Singh']",1,Hard,6-Month Current Affairs 2025,Q_0045
Current Affairs,Paramilitary,Who is current DG of Central Industrial Security Force (CISF)?,"['Rajesh Ranjan', 'R.S Bhatti', 'Subodh Kumar Jaiswal', 'O.P. Singh']",1,Hard,6-Month Current Affairs 2025,Q_0046
Current Affairs,Paramilitary,Who is current DG of National Security Guard (NSG)?,"['A.K. Singh', 'B. Srinivasan', 'M.A. Ganapathy', 'Sudeep Lakhtakia']",1,Hard,6-Month Current Affairs 2025,Q_0047
Current Affairs,Security,Who is current Director of Special Protection Group (SPG)?,"['Arun Kumar Sinha', 'Alok Sharma', 'Sudeep Lakhtakia', 'A.R. Anand']",1,Hard,6-Month Current Affairs 2025,Q_0048
Current Affairs,Paramilitary,Who is current Additional Director General of ITBP?,"['S.S. Deswal', 'Sanjeev Raina', 'R.K. Pachnanda', 'Surjit Singh Deswal']",1,Hard,6-Month Current Affairs 2025,Q_0049
Current Affairs,Paramilitary,Who is current DG of National Cadet Corps (NCC)?,"['Lt. Gen. Tarun Kumar Aich', 'Gurbirpal Singh', 'Lt. Gen. P P Malhotra', 'Lt. Gen. Rajeev Chopra']",1,Hard,6-Month Current Affairs 2025,Q_0050
Current Affairs,Coast Guard,Who is current Director General of Indian Coast Guard (ICG)?,"['K. Natarajan', 'S. Paramesh', 'Rajendra Singh', 'V.S. Pathania']",1,Hard,6-Month Current Affairs 2025,Q_0051
Current Affairs,Disaster Management,Who is current DG of National Disaster Relief Force (NDRF)?,"['S.N. Pradhan', 'Piyush Anand', 'Atul Karwal', 'R.K. Pachnanda']",1,Hard,6-Month Current Affairs 2025,Q_0052
Current Affairs,NITI Aayog,Who is Chairman of NITI Aayog?,"['Rajiv Kumar', 'Prime Minister Narendra Modi', 'Amitabh Kant', 'V.K. Saraswat']",1,Easy,6-Month Current Affairs 2025,Q_0053
Current Affairs,NITI Aayog,Who is Deputy Chairman of NITI Aayog?,"['Rajiv Kumar', 'Suman Kumar Bery', 'Amitabh Kant', 'V.K. Paul']",1,Medium,6-Month Current Affairs 2025,Q_0054
Current Affairs,NITI Aayog,Who is CEO of NITI Aayog?,"['Amitabh Kant', 'B. V. R. Subrahmanyam', 'Parameswaran Iyer', 'Rajiv Kumar']",1,Medium,6-Month Current Affairs 2025,Q_0055
Current Affairs,UPSC,Who is current Chairperson of UPSC?,"['Pradeep Kumar Joshi', 'Ajay Kumar', 'Manoj Soni', 'Arvind Saxena']",1,Medium,6-Month Current Affairs 2025,Q_0056
Current Affairs,Law Commission,Who is Chairman of 22nd Law Commission?,"['Justice B.S. Chauhan', 'Rituraj Awasthi', 'Justice A.P. Shah', 'Justice Balbir Singh Chauhan']",1,Hard,6-Month Current Affairs 2025,Q_0057
Current Affairs,Women Commission,Who is Chairperson of National Commission for Women?,"['Rekha Sharma', 'Vijaya Rahatkar', 'Mamta Sharma', 'Lalitha Kumaramangalam']",1,Medium,6-Month Current Affairs 2025,Q_0058
Current Affairs,Backward Classes,Who is Chairman of National Backward Classes Commission?,"['Justice G. Rohini', 'Hansraj Gangaram Ahir', 'Bhagwan Lal Sahni', 'Dr. Jitendra Singh']",1,Hard,6-Month Current Affairs 2025,Q_0059
Current Affairs,SSC,Who is Chairman of Staff Selection Commission?,"['Braj Raj Sharma', 'S. Gopalakrishnan', 'Ashim Khurana', 'Dr. B.R. Sharma']",1,Hard,6-Month Current Affairs 2025,Q_0060
Current Affairs,Pay Commission,Who is Chairman of 7th Pay Commission?,"['Justice A.K. Mathur', 'Ashok Kumar Mathur', 'Rathin Roy', 'Vivek Rae']",1,Hard,6-Month Current Affairs 2025,Q_0061
Current Affairs,Lokpal,Who is Chairperson of Lokpal?,"['Justice Pinaki Chandra Ghose', 'Ajay Manikrao Khanwilkar', 'Justice P.C. Ghose', 'Justice Dilip B. Bhosale']",1,Hard,6-Month Current Affairs 2025,Q_0062
Current Affairs,Finance Commission,Who is Chairman of 16th Finance Commission?,"['N.K. Singh', 'Arvind Panagariya', 'Y.V. Reddy', 'Vijay Kelkar']",1,Hard,6-Month Current Affairs 2025,Q_0063
Current Affairs,Competition Commission,Who is Chairman of Competition Commission of India?,"['Ashok Kumar Gupta', 'Ravneet Kaur', 'Sangeeta Verma', 'D.K. Sikri']",1,Hard,6-Month Current Affairs 2025,Q_0064
Current Affairs,Scheduled Tribes,Who is Chairman of National Commission for ST?,"['Nand Kumar Sai', 'Antar Singh Arya', 'Harsh Chauhan', 'Rameshwar Oraon']",1,Hard,6-Month Current Affairs 2025,Q_0065
Current Affairs,Scheduled Castes,Who is Chairman of National Commission for SC?,"['Vijay Sampla', 'Kishor Makwana', 'L. Murugan', 'Ram Shankar Katheria']",1,Hard,6-Month Current Affairs 2025,Q_0066
Current Affairs,Human Rights,Who is Chairman of National Human Rights Commission (NHRC) (9th)?,"['Justice H.L. Dattu', 'V. Ramasubramanian', 'Justice Arun Mishra', 'Justice K.G. Balakrishnan']",1,Hard,6-Month Current Affairs 2025,Q_0067
Current Affairs,Child Rights,Who is Chairman of National Commission for Protection of Child Rights?,"['Stuti Narain Kacker', 'Priyank Kanungo', 'Yashwant Jain', 'Jaswant Jain']",1,Hard,6-Month Current Affairs 2025,Q_0068
Current Affairs,Minorities,Who is Chairman of National Commission for Minorities?,"['Syed Ghayorul Hasan Rizvi', 'Iqbal Singh Lalpura', 'George Kurian', 'Atif Rasheed']",1,Hard,6-Month Current Affairs 2025,Q_0069
Current Affairs,Railways,Who is Chairman and CEO of the Railway Board?,"['V.K. Yadav', 'Satish Kumar', 'Suneet Sharma', 'Ashwini Vaishnav']",1,Medium,6-Month Current Affairs 2025,Q_0070
Current Affairs,SEBI,Who is Chairman of SEBI?,"['Ajay Tyagi', 'Tuhin Kanata Pandey', 'Madhabi Puri Buch', 'U.K. Sinha']",1,Medium,6-Month Current Affairs 2025,Q_0071
Current Affairs,Film Certification,Who is CEO of Central Board of Films Certification?,"['Prasoon Joshi', 'Ravindra Bhakar', 'Pahlaj Nihalani', 'Sharmila Tagore']",1,Hard,6-Month Current Affairs 2025,Q_0072
Current Affairs,Civil Aviation,Who is Chairman of Bureau of Civil Aviation Security?,"['Rajiv Bansal', 'Rajesh Nirwan', 'Pradeep Singh Kharola', 'Arun Kumar']",1,Hard,6-Month Current Affairs 2025,Q_0073
Current Affairs,CBDT,Who is Chairman of CBDT?,"['P.C. Mody', 'Ravi Agarwal', 'J.B. Mohapatra', 'Akhilesh Ranjan']",1,Hard,6-Month Current Affairs 2025,Q_0074
Current Affairs,CBIC,Who is Chairman of Central Board of Indirect taxes and Customs (CBIC)?,"['M. Ajit Kumar', 'Sanjay Kumar Agarwal', 'Vivek Johri', 'S. Ramesh']",1,Hard,6-Month Current Affairs 2025,Q_0075
Current Affairs,Dairy Development,Who is Chairman of National Dairy Development Board?,"['Dilip Rath', 'Meenesh Shah', 'R.S. Sodhi', 'Sunil Kumar']",1,Hard,6-Month Current Affairs 2025,Q_0076
Current Affairs,Border Roads,Who is DG of Border Roads Organisation?,"['Lt Gen Harpal Singh', 'Raghu Srinivasan', 'Lt Gen Rajeev Chaudhry', 'Lt Gen T.V. Chaman Lal']",1,Hard,6-Month Current Affairs 2025,Q_0077
Current Affairs,Petroleum,Who is Chairman of Petroleum and Natural Gas Regulatory Board?,"['D.K. Sarraf', 'Anil Kumar Jain', 'Mukesh Kumar Surana', 'H. Kumar']",1,Hard,6-Month Current Affairs 2025,Q_0078
Current Affairs,TRAI,Who is Chairman of TRAI?,"['Ram Sewak Sharma', 'Anil Kumar Lahoti', 'P.D. Vaghela', 'Dr. P.D. Vaghela']",1,Hard,6-Month Current Affairs 2025,Q_0079
Current Affairs,UIDAI,Who is CEO of UIDAI?,"['Saurabh Garg', 'Bhuvnesh Kumar', 'Ajay Bhushan Pandey', 'Dr. Ajay Bhushan Pandey']",1,Hard,6-Month Current Affairs 2025,Q_0080
Current Affairs,Census,Who is Registrar General & Census Commissioner of India?,"['Vivek Joshi', 'MK Narayan', 'Dr. C. Chandramouli', 'Shailesh']",1,Hard,6-Month Current Affairs 2025,Q_0081
Current Affairs,Parliamentary Committees,Who is Chairman of Public Accounts Committee?,"['Adhir Ranjan Chowdhury', 'K.C. Venugopal', 'Mallikarjun Kharge', 'Dr. Kirit Solanki']",1,Hard,6-Month Current Affairs 2025,Q_0082
Current Affairs,Parliamentary Committees,Who is Chairman of Estimates Committee?,"['Dr. Murli Manohar Joshi', 'Dr. Sanjay Jaiswal', 'Rajesh Ranjan', 'Nishikant Dubey']",1,Hard,6-Month Current Affairs 2025,Q_0083
Current Affairs,NHAI,Who is Chairman of National Highway Authority of India (NHAI)?,"['Sukhbir Singh Sandhu', 'Santosh Kumar Yadav', 'Alka Upadhyaya', 'Deepak Kumar']",1,Hard,6-Month Current Affairs 2025,Q_0084
Current Affairs,Education,Who is Chairman of UGC?,"['D.P. Singh', 'Vineet Joshi', 'Jagadesh Kumar', 'Mamidala Jagadesh Kumar']",1,Medium,6-Month Current Affairs 2025,Q_0085
Current Affairs,Education,Who is VC of University of Delhi?,"['P.C. Joshi', 'Yogesh Singh', 'Dinesh Singh', 'V.K. Malhotra']",1,Hard,6-Month Current Affairs 2025,Q_0086
Current Affairs,Education,Who is Vice Chancellor of JNU?,"['M. Jagadesh Kumar', 'Shantisree Dulipudi Pandit', 'Santishree Pandit', 'Appa Rao Podile']",1,Hard,6-Month Current Affairs 2025,Q_0087
Current Affairs,Education,Who is Vice Chancellor of BHU?,"['Prof. Rakesh Bhatnagar', 'Prof. Ajit Kumar Chaturvedi', 'Prof. V.K. Shukla', 'Prof. Girish Chandra Tripathi']",1,Hard,6-Month Current Affairs 2025,Q_0088
Current Affairs,Education,Who is Chancellor of Nalanda University?,"['George Yeo', 'Arvind Pangariya', 'Lord Meghnad Desai', 'Amartya Sen']",1,Hard,6-Month Current Affairs 2025,Q_0089
Current Affairs,Education,Who is Chancellor of Gatishakti University?,"['Ashwini Vaishnav', 'Piyush Goyal', 'Nitin Gadkari', 'Jitendra Singh']",0,Hard,6-Month Current Affairs 2025,Q_0090
Current Affairs,Education,Who is Director of NCERT?,"['Hrushikesh Senapaty', 'Dinesh Prasad Saklani', 'Sridhar Srivastava', 'Dr. R.K. Parashar']",1,Hard,6-Month Current Affairs 2025,Q_0091
Current Affairs,Education,Who is Chairman of CBSE?,"['Manoj Ahuja', 'Rahul Singh', 'Vineet Joshi', 'Anurag Tripathi']",1,Hard,6-Month Current Affairs 2025,Q_0092
Current Affairs,Literature,Who is President of Sahitya Akademi?,"['Chandrashekhar Kambar', 'Madhav Kaushik', 'Vishwanath Prasad Tiwari', 'Rajendra Shah']",1,Hard,6-Month Current Affairs 2025,Q_0093
Current Affairs,Arts,Who is President of Sangeet Natak Akademi?,"['Arjun Deo Charan Singh', 'Shekhar Sen', 'Sandhya Purecha', 'Dr. Arjun Deo Charan Singh']",1,Hard,6-Month Current Affairs 2025,Q_0094
Current Affairs,Arts,Who is President of Lalit Kala Akademi?,"['Uttam Pacharne', 'Prof. V. Ngdas', 'Kalyan Kumar Chakravarty', 'Raghunath Mohapatra']",1,Hard,6-Month Current Affairs 2025,Q_0095
Current Affairs,Space Technology,Who is Chairman of ISRO?,"['K. Sivan', 'Dr. V. Narayanan', 'S. Somnath', 'A.S. Kiran Kumar']",1,Medium,6-Month Current Affairs 2025,Q_0096
Current Affairs,Atomic Energy,Who is Chairman of Atomic Energy Commission (AEC)?,"['K.N. Vyas', 'A.K Mohanty', 'Sekhar Basu', 'R.K. Sinha']",1,Hard,6-Month Current Affairs 2025,Q_0097
Current Affairs,Atomic Energy,Who is Chairman of Atomic Energy Regulatory Board (AERB)?,"['G. Nageswara Rao', 'Dinesh Kumar Shukla', 'S.A. Bhardwaj', 'A.K. Mohanty']",1,Hard,6-Month Current Affairs 2025,Q_0098
Current Affairs,Atomic Research,Who is Director of Bhabha Atomic Research Center (BARC)?,"['Kamlesh Nilkanth Vyas', 'Vivek Bhasin', 'A.K. Mohanty', 'K.N. Vyas']",1,Hard,6-Month Current Affairs 2025,Q_0099
Current Affairs,Defence Research,Who is Chairman of Defence Research Development Organization (DRDO)?,"['Dr. G. Satheesh Reddy', 'Samir V. Kamat', 'Dr. V.K. Aatre', 'A.P.J. Abdul Kalam']",1,Medium,6-Month Current Affairs 2025,Q_0100
Current Affairs,Scientific Research,Who is Director General of Council of Scientific and Industrial Research?,"['Dr. Shekhar Mande', 'Nallathamby Kalasielvi', 'Dr. Girish Sahni', 'Dr. R.A. Mashelkar']",1,Hard,6-Month Current Affairs 2025,Q_0101
Current Affairs,Space Center,Who is Director of Vikram Sarabhai Space Center?,"['P. Kunhikrishnan', 'Shri Rajarajan A', 'S. Unnikrishnan Nair', 'Dr. K. Sivan']",1,Hard,6-Month Current Affairs 2025,Q_0102
Current Affairs,Sports Administration,Who is Chairman of ICC?,"['Sourav Ganguly', 'Jay Shah', 'Greg Barclay', 'Shashank Manohar']",1,Medium,6-Month Current Affairs 2025,Q_0103
Current Affairs,Sports Administration,Who is President of Olympic Council of Asia (IOC)?,"['Thomas Bach', 'Kirsty Coventry', 'Sheikh Ahmad Al-Fahad Al-Sabah', 'Tsunekazu Takeda']",1,Hard,6-Month Current Affairs 2025,Q_0104
Current Affairs,Sports Administration,Who is President of International Athletic Federation?,"['Lamine Diack', 'Sebastian Coe', 'Sergey Bubka', 'Svein Arne Hansen']",1,Medium,6-Month Current Affairs 2025,Q_0105
Current Affairs,Sports Administration,Who is President of Indian Weightlifting Federation?,"['Birendra Prasad Baishya', 'Sahdev Yadav', 'Mohammad Ishtiyaq Ahmad', 'Rajeev Mehta']",1,Hard,6-Month Current Affairs 2025,Q_0106
Current Affairs,Sports Administration,Who is President of International Hockey Federation (FIH)?,"['Leandro Negre', 'Mohammad Tayyab Ikram', 'Narinder Dhruv Batra', 'Dr. Hassan Moustafa']",1,Hard,6-Month Current Affairs 2025,Q_0107
Current Affairs,Sports Administration,Who is President of FIFA?,"['Sepp Blatter', 'Gianni Infantino', 'Michel Platini', 'Joao Havelange']",1,Easy,6-Month Current Affairs 2025,Q_0108
Current Affairs,Sports Administration,Who is President of International Boxing Association Athletes Committee?,"['Mary Kom', 'Lovlina Borgohain', 'Vijender Singh', 'Shiva Thapa']",1,Medium,6-Month Current Affairs 2025,Q_0109
Current Affairs,Sports Administration,Who is President of BCCI (36th)?,"['Sourav Ganguly', 'N. Srinivasan', 'Roger Binny', 'Anurag Thakur']",2,Medium,6-Month Current Affairs 2025,Q_0110
Current Affairs,Sports,Who is Test Captain of Board of Control for Cricket in India?,"['Virat Kohli', 'Rohit Sharma', 'Shubman Gill', 'KL Rahul']",2,Medium,6-Month Current Affairs 2025,Q_0111
Current Affairs,Sports,Who is Head Coach of Indian Cricket Men Team?,"['Ravi Shastri', 'Rahul Dravid', 'Gautam Gambhir', 'Anil Kumble']",2,Medium,6-Month Current Affairs 2025,Q_0112
Current Affairs,Sports Administration,Who is Director General of Sports Authority of India?,"['Sandip Pradhan', 'Dr. Mansukh Mandaviya', 'Radhey Shyam Julaniya', 'Neelam Kapur']",1,Hard,6-Month Current Affairs 2025,Q_0113
Current Affairs,Sports Administration,Who is President of Wrestling Federation of India (WFI)?,"['Brij Bhushan Sharan Singh', 'Sanjay Singh', 'Anita Sheoran', 'Bajrang Punia']",1,Medium,6-Month Current Affairs 2025,Q_0114
Current Affairs,Sports Administration,Who is Chief of All India Football Confederation (AIFF)?,"['Praful Patel', 'Kalyan Chaubey', 'Subrata Dutta', 'Shaji Prabhakaran']",1,Medium,6-Month Current Affairs 2025,Q_0115
Current Affairs,Sports Administration,Who is President of Hockey India?,"['Narinder Dhruv Batra', 'Dilip Tirkey', 'Rajinder Singh', 'Gyanendro Ningombam']",1,Medium,6-Month Current Affairs 2025,Q_0116
Current Affairs,Sports Administration,Who is President of Indian Olympic Association (IOA)?,"['Narinder Dhruv Batra', 'PT Usha', 'Rajeev Mehta', 'Adille Sumariwalla']",1,Medium,6-Month Current Affairs 2025,Q_0117
Current Affairs,Banking,Who is Governor of Reserve Bank of India (RBI) (26th)?,"['Urjit Patel', 'Raghuram Rajan', 'Shaktikanta Das', 'Sanjay Malhotra']",3,Medium,6-Month Current Affairs 2025,Q_0118
Current Affairs,Banking,Who are Deputy Governors of RBI?,"['Poonam Gupta, Swaminathan Janakiraman, T Rabi Shankar, M. Rajeshwar Rao', 'Urjit Patel, Viral Acharya, B.P. Kanungo, N.S. Vishwanathan', 'Shaktikanta Das, Michael Patra, Mahesh Kumar Jain, T. Rabi Shankar', 'M.K. Jain, M.D. Patra, Mahesh Kumar Jain, B.P. Kanungo']",0,Hard,6-Month Current Affairs 2025,Q_0119
Current Affairs,Banking,Who is Chairman of State Bank of India?,"['Rajnish Kumar', 'Challa Srinivasulu Setty', 'Dinesh Kumar Khara', 'Arundhati Bhattacharya']",1,Medium,6-Month Current Affairs 2025,Q_0120
Current Affairs,Banking,Who is Chairman of Punjab National Bank?,"['Sunil Mehta', 'Ashok Chandra', 'K.R. Kamath', 'S.S. Mallikarjuna Rao']",1,Hard,6-Month Current Affairs 2025,Q_0121
Current Affairs,Banking,Who is MD & CEO of ICICI Bank?,"['Chanda Kochhar', 'Sandeep Bakshi', 'Girish Chandra Chaturvedi', 'K.V. Kamath']",1,Medium,6-Month Current Affairs 2025,Q_0122
Current Affairs,Banking,Who is MD & CEO of HDFC Bank?,"['Aditya Puri', 'Shashidhar Jagdisha', 'Paresh Sukthankar', 'Kaizad Bharucha']",1,Medium,6-Month Current Affairs 2025,Q_0123
Current Affairs,International Organizations,Who is Secretary-General of United Nations?,"['Ban Ki-moon', 'Antonio Guterres', 'Kofi Annan', 'Boutros Boutros-Ghali']",1,Easy,6-Month Current Affairs 2025,Q_0124
